,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details
67,Hyundai i20 N-Line,1.0 l Turbo GDi petrol,998 cc,Automatic,Petrol,N/A,37 Litres,McPherson strut,Coupled torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Ambient sounds of nature'}"
68,Hyundai IONIQ 5,Lithium-Ion,160 kW,Automatic,Electric,631 km,72.6 kWh,McPherson Strut,Multi-link,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Ambient sounds of nature'}"
69,Mahindra Thar,mHawk 130 CRDe,2184 cc,Automatic,Diesel,N/A,57 Litres,Independent Double Wishbone Front Suspension with Coil Over Damper & Stabiliser Bar,Multilink Solid Rear Axle with Coil Over Damper & Stabiliser Bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'N/A'}"
70,Mahindra Thar ROXX,2.2L mHawk,2184 cc,Automatic,Diesel,15.2 kmpl,57 Litres,Double wishbone suspension,Multi link suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Connected apps,83 connected features,DTS sound staging'}"
71,Mahindra Scorpio,mHAWK 4 Cylinder,2184 cc,Manual,Diesel,14.44 kmpl,60 Litres,"Double Wish-bone Type, Independent Front Coil Spring",Multi Link Coil Spring Suspension and Anti-roll Bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Infotainment With Bluetooth/USB/Aux and Phone Screen Mirroring, Intellipark'}"
72,Mahindra XUV700,mHAWK,2198 cc,Automatic,Diesel,16.57 kmpl,60 Litres,McPherson Strut Independent Suspension with FSD and Stabilizer bar,Multi-link Independent Suspension with FSD and Stabilizer bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Wireless Android Auto & Apple CarPlay, AdrenoX Connect with 1 yr free subscription, 3D Audio with 12 Speakers'}"
73,Mahindra Bolero,mHAWK75,1493 cc,Manual,Diesel,16 kmpl,60 Litres,FS Coil Spring,Rigid Leaf Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
74,Mahindra XUV 3XO,mStallion (TGDi) engine,1197 cc,Automatic,Petrol,18.2 kmpl,42 Litres,McPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Twin HD 26.03 cm Infotainment, Harman Kardon Premium Audio with Amplifier & Sub-woofer, Wireless Android Auto And Apple CarPlay, Adrenox Connect'}"
75,Mahindra Scorpio N,mHawk (CRDi),2198 cc,Automatic,Diesel,15.42 kmpl,57 Litres,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Adrenox Connect, Alexa Built-in With 1 year Subscription, SONY 3D Immersive Audio 12 Speakers With Dual Channel Sub-woofer, what3words - Alexa Enabled, Wireless Android Auto & Apple CarPlay Compatibility'}"
76,Mahindra Bolero Neo,mHAWk100,1493 cc,Manual,Diesel,17.29 kmpl,50 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Music player with USB + BT (touchscreen infotainment, bluetooth, USB & AUX)'}"
