,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details
151,BMW 6 Series,TwinPower Turbo inline 4-cylinder engine,1995 cc,Automatic,Diesel,18.65 kmpl,N/A,Adaptive Air Suspension,Dynamic Damper Control,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Harman Kardon Surround Sound systemm,iDrive Touch with handwriting recognition, High-resolution (1920x720 pixels) 31 cm 12.3” Control Display,BMW Operating System 7.0 with variable configurable widgets,Navigation function with 3D maps,BMW Virtual Assistant,Screen Mirroring - transfer from screen of a suitable mobile device into the rear display,Wireless charging with extended functionality,2 x USB connections in centre console'}"
152,BMW iX1,Lithium lon,230 kW,Automatic,Electric,417-440 km,66.4 kWh,Double wishbone,Five-link,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Wireless Apple CarPlay Android Auto'}"
153,BMW M4 Competition,B58 Twin-Turbocharged I6,2993 cc,Automatic,Petrol,9.7 kmpl,60 Litres,Adaptive Suspension with Double-Joint Spring Strut Front Axle,Adaptive Suspension with Five Link Rear Axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
154,BMW i5,N/A,442 kw,Automatic,Electric,516 km,83.9 kWh,Adaptive Suspension,Adaptive Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
155,BMW 3 Series Gran Limousine,TwinPower Turbo,1998 cc,Automatic,Petrol,15.39 kmpl,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Wireless Apple CarPlay & Android Auto,BMW Operating System 8.0 with variable configurable widgets,Navigation function with RTTI and 3D maps,Touch functionality, iDrive Touch with handwriting recognition and direct access buttons,Voice Control'}"
156,BMW i4,Lithium-Ion,210 kW,Automatic,Electric,590 km,83.9 kWh,Air Suspension,Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '17 speakers with 464 W Harman Kardon Surround Sound System, Bluetooth with audio streaming, handsfree and USB connectivity, BMW Live Cockpit Plus:- (Fully Digital 12.3"" Instrument Display, High-resolution 14.9"" Curved Display, BMW Operating System 8.0 with variable configurable widgets, Navigation Function with map view in navigation widget, iDrive Controller, Touch functionality on the Curved Display, Voice control with personal assistance - ""Hey BMW""), Smartphone Integration - Apple CarPlay & Android Auto with wireless functionality, 2x dual USB Type C 3A charging function in the rear centre console, High-resolution 14.9"" Curved Display, Operating System 8.0 with variable configurable widgets, Navigation Function with map view in navigation widget, Voice control with personal assistance - ""Hey BMW"", Harman Kardon Surround Sound System (464 W, 17 speakers), Fine-wood Trim oak grain open-pored,'}"
157,BMW M8 Coupe Competition,petrol engine,4395 cc,Automatic,Petrol,8.7 kmpl,68 Litres,Adaptive M Suspension,Adaptive M Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto', 'Tweeters': 'N/A', 'Additional Features': 'BMW Live Cockpit Professional, Fully digital 12.3” Instrument Display, High-resolution (1920x720 pixels) 12.3” Control Display, BMW Operating System 7 with variable, configurable widgets, Navigation Function with 3D maps, Touch Functionality, iDrive Controller, Voice Control, Full colour BMW Head-up Display, Harman Kardon Surround Sound system (464 W, 16 speakers), Parking Assistant Plus, camera and ultrasound-based Park Distance Control (PDC), system in front and rear with Reversing Assistant, Rear-View Camera, Surround View Cameras with 360 degree view including top view, panorama view and 3D view, Telephony with wireless charging with extended functionality,Bluetooth with audio streaming, hands-free and USB connectivity, BMW Gesture Control, Smartphone Integration,BMW Display Key, with LCD colour display and touch control panel,'}"
158,BYD Seal,Lithium-Ion,N/A,Automatic,Electric,580 km,82.56 kWh,Double Wishbone,Multi-Link,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '2 Wireless phone charger,2V accessory socket,intelligent rotating touch screen display,DYNAUDIO speakers,Android Auto (wireless),Apple CarPlay(USB),'}"
159,BYD Atto 3,Blade Battery,150 kW,Automatic,Electric,521 km,60.48 kWh,Macpherson Strut,Multi-Link,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Dirac HD sound, 8 speakers'}"
160,BYD E6,Blade Battery,70 kW,Automatic,Electric,415-520 km,71.7 kWh,McPherson,Multi-link,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
161,Ferrari 812,V12 - 65°,6496 cc,Automatic,Petrol,N/A,92 Litres,adaptive magnetic suspension,adaptive magnetic suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
162,Ferrari 296 GTB,V6 hybrid,2992 cc,Automatic,Petrol,N/A,65 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
163,Ferrari SF90 Stradale,V8-90°-turbo,3990 cc,Automatic,Petrol,N/A,68 Litres,"independent,double wishbones(Adaptive Dampers)","independent, multi-link(Adaptive Dampers)","{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
164,Ferrari F8 Tributo,90-degree V8 twin turbo Engine,3902 cc,Automatic,Petrol,N/A,78 Litres,"independent,double wishbones(Adaptive Dampers)","independent,multi-link(Adaptive Dampers)","{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
165,Ferrari Roma,V8 - 90° turbo,3855 cc,Automatic,Petrol,8.93 kmpl,80 Litres,Magnetorheological damper,Magnetorheological damper,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
166,Force Gurkha,FM 2.6L CRDi,2596 cc,Manual,Diesel,N/A,63.5 Litres,Coil Spring Suspension,Coil Spring Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'USB cable mirroring'}"
167,Force Urbania,FM2.6CR ED,2596 cc,Manual,Diesel,N/A,70 Litres,Leaf spring,Leaf spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
168,Force Gurkha 5 Door,FM 2.6 CR CD,2596 cc,Manual,Diesel,N/A,63.5 Litres,Independent Double Wishbone With Coil Spring,Multi - Link With pan Hard Rod & Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
169,Isuzu D-Max,VGT Intercooled Diesel,2499 cc,Manual,Diesel,N/A,55 Litres,"Double Wishbone, Coil Spring",Semi-Elliptic Leaf Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
170,Isuzu MU-X,1.9L Ddi Diesel,1898 cc,Automatic,Diesel,12.31 kmpl,55 Litres,"Independent, Double wishbone, coil springs",Penta-link coil suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
171,Isuzu V-Cross,4 Cylinder VGS Turbo Intercooled Diesel,1898 cc,Automatic,Diesel,N/A,55 Litres,"Independent Double Wishbone, Coil Spring","Soft Ride, Leaf Spring","{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'wireless Android Auto/Apple Car Play ,USB Ports (Centre Console, Entertainment System & 2nd Row Floor Console)'}"
172,Isuzu S-CAB,VGT Intercooled Diesel,2499 cc,Manual,Diesel,N/A,55 Litres,"Double Wishbone, Coil Spring",Semi-Elliptic Leaf Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
173,Isuzu S-CAB Z,Variable Geometric Turbo Intercooled,2499 cc,Manual,Diesel,N/A,55 Litres,"Double Wishbone, with Coil Springs & stabilizer",Semi-Elliptic Leaf Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'N/A'}"
174,Isuzu Hi-Lander,VGS Turbo Intercooled Diesel,1898 cc,Manual,Diesel,N/A,55 Litres,"Independent Double Wishbone, Coil Spring","Soft Ride, Leaf Spring","{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
175,Jaguar F-Pace,2.0L Ingenium Turbocharged I4,1997 cc,Automatic,Diesel,19.3 kmpl,60 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '12 SPEAKERS 1 SUBWOOFER 400 W AMPLIFIER POWER'}"
176,Jaguar F-TYPE,P450 Petrol Engine,5000 cc,Automatic,Petrol,N/A,70 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
177,Jaguar I-Pace,Lithium ion,294 kW,Automatic,Electric,470 km,90 kw kWh,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Lower Touchscreen, Jaguar Remote App, Apple CarPlay and Android Auto, Pivi Pro with 25.40 cm (10) Touchscreen, Navigation, MeridianTM 3D Surround Sound System'}"
178,Lamborghini Urus,V8 bi-turbo engine,3999 cc,Automatic,Petrol,N/A,85 Litres,Multi link suspension,Multi link suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Lamborghini Infotainment System III (LIS III), Bang & Olufsen sound system with 21 loudspeakers and a power output of 1700 watts.'}"
179,Lamborghini Revuelto,V12 NA 6.5l,6498 cc,Automatic,Petrol,N/A,N/A,double wishbone with LMR dampers,double wishbone with LMR dampers,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
180,Lamborghini Huracan EVO,"V10 cylinder 90°,dual injection",5204 cc,Automatic,Petrol,N/A,80 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '8.4” HMI capacitive touchscreen'}"
181,Land Rover Defender,4.4-Litre Twin-Turbocharged V8,4367 cc,Automatic,Petrol,N/A,90 Litres,Double Wishbone with Coil Springs and Electronic Air Suspension,Multi-link with Coil Springs and Electronic Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
182,Land Rover Range Rover,P400 Ingenium Turbocharged I6 MHEV,2996 cc,Automatic,Petrol,10.42 kmpl,90 Litres,"SLA Double Wishbone with Virtual Swivel Axis and Split Lower Arm, Electronic Air Suspension with Dynamic Response","5-link axle, Electronic Air Suspension with Dynamic Response","{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
183,Land Rover Range Rover Velar,TD4 Engine,1997 cc,Automatic,Petrol,N/A,82 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '-1', 'Additional Features': 'Pro Service and WI-FI Hotspot'}"
184,Land Rover Range Rover Evoque,2.0L Diesel,1997 cc,Automatic,Diesel,N/A,67 Litres,MacPherson Strut with passive anti-roll bar,Integral Multi-Link with passive anti-roll bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
185,Land Rover Range Rover Sport,3.0 L 6-cylinder,2997 cc,Automatic,Petrol,N/A,86 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
186,Land Rover Discovery,3.0 L 6-cylinder,2997 cc,Automatic,Diesel,N/A,N/A,Electronic Air Suspension,Electronic Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
187,Land Rover Discovery Sport,Diesel Engine,1999 cc,Automatic,Diesel,6.9 kmpl,65 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay, Mirror Link', 'Tweeters': 'N/A', 'Additional Features': 'Pro Services & Wi-Fi Hotspot\nInControl Apps'}"
188,Lexus LM,Inline With Dual VVT-i,2487 cc,Automatic,Petrol,N/A,60 Litres,MacPherson strut-type,Double wishbone type,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
189,Lexus ES,2AR-FXE,2487 cc,Automatic,Petrol,N/A,50 Litres,MacPherson struts,Double Wishbone,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '2 Audio Jack , AUX-in 12 V DC Connector , Electro Multi Vision Touch Display , Multimedia Audio System((Mark Levinson, Mark levinson 17 speakers (front 3 speakers,4 door speakers, 2 front door woofers, 1 rear subwoofers, 1 amplifier))), Smartphone connectivity (Wireless Apple Car Play / Wired Android Auto,'}"
190,Lexus LC 500h,3.5-literV6FourCam,3456 cc,Automatic,Petrol,12.3 kmpl,82 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Mirror Link', 'Tweeters': 'N/A', 'Additional Features': '26.16 cm (10.3-inch) EMV (Electro Multi-Vision) display with Remote Touch Interface, Mark Levinson Reference Surround Sound System with AM/FM radio, in-dash DVD player, 13 speakers, MP3 and WMA play compatible, DSP, ASL, Clari-Fi, Bluetooth function with hands-free calling, wireless connection with AV-profile compliant player, 2 USB ports/mini-jack, Smartphone connectivity'}"
191,Lexus LS,8GR FXS V6 24-valve DOHC with Dual VVT-i,3456 cc,Automatic,Petrol,15.4 kmpl,82 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '12.3 inch Display, Mark Levinson 23 Speakers - 2,400 Equivalent Total Watts, Rear Seat Entertainment (Dual RSE Monitors - 29.5 cm (11.6 inch) HD)'}"
192,Lexus LX,3.5-liter V6 twin-turbo,3346 cc,Automatic,Diesel,N/A,80 Litres,Adaptive Variable Suspension,Adaptive Variable Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '31.24 cm (12.3-inch) Electro Multi-Vision (EMV) Multimedia infotainment Touch display, Audio Mark Levinson 25 Speakers 3D Surround Sound System, Rear Seat Entertainment (Dual RSE Monitors) 11.6-inch touch displays, HDMI jack, 2 headphone jacks, wireless remote control, Wireless Apple CarPlay, Wired Android Auto, 17.78 cm (7-inch) Electro Multi-Vision (EMV) Drive dynamics control touch displays'}"
193,Lexus NX,A25B-FXS,2487 cc,Automatic,Petrol,N/A,55 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Lexus Navigation system,Mark Levinson,Interior Illumination with 14 colours'}"
194,Lexus RX,2.5L in-line Twin Cam (A25A-FXS/A25B-FXS,2487 cc,Automatic,Petrol,N/A,259.2v kWh,MacPherson Struts,"Multi-link Type, Coil Spring","{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '14-inch EMV (Electro Multi-Vision) touch display; Apple CarPlay and Wired Android Auto compatible, Mark Levinson Premium Surround Sound System; 21 speakers, Clari-Fi,QLS'}"
195,Lotus Eletre,N/A,450 kW,Automatic,Electric,500 km,112 kWh,Multi-link,Multi-link,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
196,Maserati Levante,3.0L V6 Diesel Engine,2979 cc,Automatic,Petrol,12 kmpl,80 Litres,Air Adaptive Suspensions,Air Adaptive Suspensions,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay, SD Card Reader', 'Tweeters': 'N/A', 'Additional Features': '8.4 inch Maserati Touch Control Plus'}"
197,Maserati GranTurismo,V-Type Petrol Engine,4691 cc,Automatic,Petrol,10 kmpl,86 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
198,Maserati Grecale,V6 90°,3000 cc,Automatic,Petrol,N/A,64 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
199,Maserati Ghibli,3.8L Twin-Turbocharged V8,3799 cc,Automatic,Petrol,N/A,80 Litres,SKYHOOK SUSPENSION,SKYHOOK SUSPENSION,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
200,Maserati Quattroporte,V-Type Petrol Engine,3799 cc,Automatic,Petrol,11.76 kmpl,80 Litres,,,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay, SD Card Reader', 'Tweeters': 'N/A', 'Additional Features': '8.4 inch infotainment system\nWi-Fi Hotspot'}"
201,Maserati GranCabrio,V Type Diesel Engine,4691 cc,Automatic,Diesel,10.2 kmpl,75 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
202,Mclaren GT,M840TE,3994 cc,Automatic,Petrol,N/A,72 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Homelink (only for selected markets), McLaren Infotainment System II (MIS II) 7” portrait touch screen monitor, Navigation (inc. cluster turn-by-turn display), On-board memory, Audio media player, AM/FM radio, DAB radio (SiriusXM for federal), Bluetooth telephony, Voice control for infotainment, AUX in , iPod / iPhone integration, McLaren 4-speaker audio system'}"
203,Mclaren 750S,M840T,3994 cc,Automatic,Petrol,N/A,72 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Bowers & Wilkins sound system ,'}"
204,Mercedes-Benz GLA,OM 651 DE 22 LA,1950 cc,Automatic,Diesel,18.9 kmpl,N/A,air suspension,air suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
205,Mercedes-Benz Maybach GLS,V Type,3982 cc,Automatic,Petrol,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
206,Mercedes-Benz C-Class,Petrol Mild Hybrid,1999 cc,Automatic,Petrol,N/A,66 Litres,Adaptive Damping System,Adaptive Damping System,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Burmester 3D surround sound system (15 high-quality speakers with 710 watt)'}"
207,Mercedes-Benz GLS,N/A,2925 cc,Automatic,Diesel,N/A,N/A,Air Suspension,Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '""Burmester surround sound system( 590 watts of system power,audio experience with Dolby Atmos,Advanced noise compensation (VNC) dynamically adapts music and sounds),Sound Personalization (option for personal profile), Wireless charging system for mobile devices at the front and rear, MBUX Entertainment (Music streaming like Amazon Music, Apple Music, Spotify into vehicles, providing access to internet radio stations and podcasts),MBUX Entertainment and Extended functions(Music streaming like Amazon Music, Apple Music, Spotify into vehicles, providing access to internet radio stations and podcasts,Natural language understanding,Learning-capable MBUX language assistant,Personal profiles(Customize your mood by saving individual theme worlds, such as DYNAMIC SELECT driving programs, radio stations, and ambient lighting.), Prediction functions(personal assistant for phone number on the multimedia system, Hard-Disc Navigation(Hard-Disc navigation,2D and 3D map display, MBUX voice assistant to input data and start route guidance, even understanding everyday language, online connectivity, map data is updated as needed and automatically via the mobile network.), Smartphone integration (Wireless smartphone integration supports Android Auto and Apple CarPlay, Display apps from selected third-party providers, Access to current software and data e.g. for navigation, traffic information, contact details, messaging, telephony, media, IP radio,User interface optimized for driving,Control of smartphone functions via voice control), MBUX rear tablet (7.4-inch MBUX rear tablet, Use all the MBUX multimedia system and control comfort features,HDMI or Bluetooth via mobile device, tablet or laptop. It Has touch and voice input both), Power closing (servo closing function pulls your doors gently and almost silently into the lock),""'}"
208,Mercedes-Benz E-Class,3.0 L in-line 6 cylinder engine,2925 cc,Automatic,Diesel,N/A,80 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Burmester® surround sound system,'}"
209,Mercedes-Benz GLC,OM654M,1993 cc,Automatic,Diesel,19.4 kmpl,66 Litres,Selective Damping System,Selective Damping System,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'connect with Alexa, Google Home integration and Parking location on navigation system'}"
210,Mercedes-Benz S-Class,M256 engine,2999 cc,Automatic,Petrol,N/A,76 Litres,AIRMATIC suspension,air suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay, Mirror Link', 'Tweeters': 'N/A', 'Additional Features': 'USB package Plus, OLED central display (12.8 inch), Natural voice control, Touch control concept, Wireless charging system in the front, Wireless charging system for mobile devices in the rear, Burmester® 3D surround sound system, Sound personalization, Wireless Smartphone Integration, Fingerprint scanner, MBUX Entertainment MBUX Navigation MBUX High-End Rear Seat Entertainment System ( 2-high-resolution 11.6-inch displays) MBUX rear tablet use Like a remote control, can access MBUX multimedia system for example and control comfort equipment. With the full-fledged 7-inch tablet you can also use the internet or Android apps. The features of the tablet: 1. WiFi-enabled tablet with 7-inch high-resolution display (1280 x 800 pixels) Headphone connection via Bluetooth or 3.5 mm audio jack. Docking station with charging function in the centre armrest 2. MBUX remote control of the central display. 3. Direct access to available equipment: MBUX multimedia system with media Display of the distance to the set destination incl. arrival time Rear compartment air conditioning system, in conj. with THERMOTRONIC automatic climate control in the rear or seat climate control in the rear Seat massage, in conj. with Rear Seat Comfort Package 4. Ambient lighting. Change from MBUX to Android mode with: Web browser Android apps 5. Mirroring of the rear displays incl. depiction of navigation, in conj. with MBUX High-End Rear Seat Entertainment System The tablet can also be used as a standalone android tablet as well. Additional Mercedes me connect features (Alexa Home and Google Home Integration with Mercedes me connect) Parking location POIs (Points of Interest) Mercedes me Geo-fencing, Windows/sunroof open close from App, Vehicle Finder (enables horn and light flashing), Mercedes me Service app: Your digital assistant , Vehicle Monitoring, Vehicle Set-Up, Navigation Connectivity package, Mercedes-Benz emergency call system'}"
211,Mercedes-Benz EQS,Lithium-Ion,N/A,Automatic,Electric,857 km,107.8 kWh,air suspension,air suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
212,Mercedes-Benz EQB,Lithium-ion,215 kW,Automatic,Electric,397-447 km,66.5 kWh,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
213,Mercedes-Benz EQE SUV,Lithium ion,402.3,Automatic,Electric,550 km,90.56 kWh,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
214,Mercedes-Benz AMG C43,2.0L M139l,1991 cc,Automatic,Petrol,N/A,66 Litres,AMG RIDE CONTROL,AMG RIDE CONTROL,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
215,Mercedes-Benz AMG GLC 43,2.0L Inline M139 4-cylinder,1991 cc,Automatic,Petrol,N/A,N/A,Double wishbone suspension,Double wishbone suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
216,Mercedes-Benz AMG A 45 S,2.0-litre in line engine,1991 cc,Automatic,Petrol,N/A,51 Litres,AMG Suspension,AMG Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Burmester sound. The high-performance speakers develop a first-class surround sound, AMG REAL PERFORMANCE SOUND'}"
217,Mercedes-Benz Maybach S-Class,V12,5980 cc,Automatic,Petrol,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '3D driver display (The 3 dimensional warnings and functions of the driving assistance systems are with their striking 3D and shaded effects. Another trailblazing effect, 3D image of cars, trucks, buses or motorcycles ahead of your vehicle.)(O)Wireless charging system for mobile devices front and rear, Optional Package:-Burmester® high-end 4D surround sound system, Mercedes me, Sound Personalization, Smartphone Integration, OLED central display(12.8inch), MBUX high-end rear seat entertainment ((11.6 inch), MBUX interior assistant, Extended functions MBUX, MBUX Navigation Premium'}"
218,Mercedes-Benz GLE,N/A,2989 cc,Automatic,Diesel,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'N/A'}"
219,Mercedes-Benz EQA,Lithium-ion,140 kW,Automatic,Electric,497-560 km,70.5 kWh,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
220,Mercedes-Benz GLB,OM654q,1998 cc,Automatic,Diesel,N/A,52 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Touch inputs, Personalisation,Alexa Home Integration with Mercedes me'}"
221,Mercedes-Benz G-Class,V8,3982 cc,Automatic,Petrol,8.47 kmpl,100 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Burmester surround sound system, Ambient lighting in 64 colors'}"
222,Mercedes-Benz CLE Cabriolet,M254 2.0L 4-cylinder,1999 cc,Automatic,Petrol,N/A,N/A,Double wishbone suspension,Double wishbone suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
